id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
81,f,t,42,11,253,15,23,2020-03-28 10:09:02.950781+00,2020-03-28 09:20:56.649082+00,t,t,2020-03-28 10:08:50.797026+00,2020-03-28 10:09:11.924821+00,f,t,f,
50,f,f,65,15,228,15,21,,,f,f,,,f,f,f,
51,f,f,71,16,228,15,7,,,f,f,,,f,f,f,
58,t,f,100,23,228,15,2,2020-03-28 13:26:18.686838+00,,t,t,2020-03-28 13:26:06.990488+00,2020-03-28 13:26:51.095981+00,t,t,f,
52,f,f,73,17,228,15,8,,,f,f,,,f,f,f,
73,f,f,13,3,253,15,26,2020-03-28 10:44:45.260591+00,,t,t,2020-03-28 10:44:36.374257+00,2020-03-28 10:44:52.808232+00,f,t,f,
79,f,f,17,9,253,14,29,2020-03-28 10:10:03.036099+00,,t,t,2020-03-28 10:09:47.883517+00,2020-03-28 10:10:21.548171+00,f,t,f,
53,f,f,80,18,228,15,34,,,f,f,,,f,f,f,
61,f,t,117,26,228,15,19,2020-03-28 09:58:20.989099+00,2020-03-28 09:59:38.865016+00,f,t,2020-03-28 09:58:00.817553+00,,f,t,f,
54,f,f,86,19,228,15,31,,,f,f,,,f,f,f,
56,f,f,89,21,228,15,30,,,f,f,,,f,f,f,
77,f,f,36,7,253,15,17,2020-03-28 10:40:54.99414+00,,t,t,2020-03-28 10:40:46.098974+00,2020-03-28 10:41:08.737317+00,f,t,f,
57,f,f,98,22,228,15,12,,,f,f,,,f,f,f,
8636,f,f,118,26,306,15,31,,,f,f,,,f,f,f,
8637,f,f,121,27,306,15,27,,,f,f,,,f,f,f,
8638,f,f,125,28,306,15,32,,,f,f,,,f,f,f,
8639,f,f,129,29,306,15,3,,,f,f,,,f,f,f,
8640,f,f,131,30,306,15,28,,,f,f,,,f,f,f,
8641,t,f,139,31,306,15,13,2020-03-28 06:37:20.924901+00,2020-03-28 06:37:35.139273+00,f,t,2020-03-28 06:37:10.175344+00,,f,t,f,
8642,f,f,24,32,306,14,22,,,f,f,,,f,f,f,
8643,f,f,147,33,306,15,2,,,f,f,,,f,f,f,
8644,f,f,155,34,306,15,15,,,f,f,,,f,f,f,
